Question,ROUGE-1 Precision,ROUGE-1 Recall,ROUGE-1 F1,ROUGE-L Precision,ROUGE-L Recall,ROUGE-L F1,BLEU
Which courses teach me how to use TensorFlow?,0.125,1.0,0.2222222222222222,0.125,1.0,0.2222222222222222,
On what days does CSCI 381 meet?,0.0,0.0,0.0,0.0,0.0,0.0,0
Do any CSCI 381 classes start before 10am?,0.038461538461538464,1.0,0.07407407407407407,0.038461538461538464,1.0,0.07407407407407407,
What are the introductory CSCI courses?,0.21428571428571427,0.5454545454545454,0.30769230769230765,0.17857142857142858,0.45454545454545453,0.25641025641025644,0.0
I got a 5 on the AP Computer Science Exam. What class should I take in the fall?,0.02564102564102564,0.5,0.048780487804878044,0.02564102564102564,0.5,0.048780487804878044,
"I just took CSCI 237, can I take CSCI 104?",0.0,0.0,0.0,0.0,0.0,0.0,
Does CSCI 331 have a required lab section?,0.01639344262295082,1.0,0.03225806451612903,0.01639344262295082,1.0,0.03225806451612903,
Which class should I take if I want to learn about Dynamic Programming?,0.11764705882352941,1.0,0.21052631578947367,0.11764705882352941,1.0,0.21052631578947367,
What languages will I write in CSCI 331?,0.0,0.0,0.0,0.0,0.0,0.0,
Will CSCI 334 be taught in the Spring semester?,0.07142857142857142,1.0,0.13333333333333333,0.07142857142857142,1.0,0.13333333333333333,
How many colloquia credits do I get when I study abroad?,0.1875,0.6666666666666666,0.29268292682926833,0.1875,0.6666666666666666,0.29268292682926833,0.03627
I have not taken CSCI 136 yet. Can I declare the CS major?,0.04,1.0,0.07692307692307693,0.04,1.0,0.07692307692307693,
"If CSCI 134 is overenrolled, how will enrollment be determined?",0.07142857142857142,0.3333333333333333,0.11764705882352941,0.07142857142857142,0.3333333333333333,0.11764705882352941,
How often are elective courses offered?,0.08333333333333333,1.0,0.15384615384615385,0.08333333333333333,1.0,0.15384615384615385,1e-05
What class should I take if I want to learn about unsupervised learning?,0.13333333333333333,1.0,0.23529411764705882,0.13333333333333333,1.0,0.23529411764705882,
Is there a final exam in CSCI 378?,0.0,0.0,0.0,0.0,0.0,0.0,
Is CSCI 432 a project-based class?,0.03333333333333333,1.0,0.06451612903225806,0.03333333333333333,1.0,0.06451612903225806,
I have taken Stat 201 but not CSCI 256. Can I take CSCI 379?,0.08333333333333333,1.0,0.15384615384615385,0.08333333333333333,1.0,0.15384615384615385,
When does the earliest section of Deep Learning meet?,0.25,0.8333333333333334,0.3846153846153846,0.25,0.8333333333333334,0.3846153846153846,0.0
Who should I contact if I am interested in doing an independent reading?,0.0,0.0,0.0,0.0,0.0,0.0,
Who is teaching CSCI 237 in the Spring?,0.3,1.0,0.4615384615384615,0.3,1.0,0.4615384615384615,
How are students evaluated in CSCI 256?,0.46153846153846156,1.0,0.631578947368421,0.46153846153846156,1.0,0.631578947368421,0.23662
Is Theory of Computation offered in both the Fall and the Spring?,0.09375,0.6,0.16216216216216214,0.09375,0.6,0.16216216216216214,0.0
Can I take CSCI 381 as my fifth class?,0.05555555555555555,1.0,0.10526315789473684,0.05555555555555555,1.0,0.10526315789473684,
Is CSCI 361 a lecture-only class?,0.045454545454545456,1.0,0.08695652173913045,0.045454545454545456,1.0,0.08695652173913045,
Is Natural Language Processing offered in either fall 2023 or spring 2024?,0.0,0.0,0.0,0.0,0.0,0.0,
What CSCI courses does Professor Douglas teach?,0.35714285714285715,0.625,0.45454545454545453,0.2857142857142857,0.5,0.36363636363636365,0.0
Which philosophy courses are prereqs for CS 256?,0.0,0.0,0.0,0.0,0.0,0.0,
What is the full title of CSCI 537?,0.1388888888888889,1.0,0.24390243902439027,0.1388888888888889,1.0,0.24390243902439027,0.0
Which professor taught CS 134 in 2016?,0.13636363636363635,0.75,0.23076923076923075,0.13636363636363635,0.75,0.23076923076923075,0.0
What topics are covered in CSCI 134?,0.30851063829787234,0.8529411764705882,0.45312500000000006,0.26595744680851063,0.7352941176470589,0.390625,0.07983
What are the class components of CSCI 237?,0.9,0.8181818181818182,0.8571428571428572,0.9,0.8181818181818182,0.8571428571428572,0.47988
What are the prerequisites for CSCI 237?,0.875,0.875,0.875,0.875,0.875,0.875,0.0
How is enrollment preference determined for CSCI 256?,0.8666666666666667,0.896551724137931,0.8813559322033899,0.8,0.8275862068965517,0.8135593220338982,0.59267
What algorithm design strategies are covered in CSCI 256?,0.8421052631578947,0.8888888888888888,0.8648648648648649,0.6842105263157895,0.7222222222222222,0.7027027027027027,0.53369
How is enrollment preference determined for CSCI 345?,1.0,1.0,1.0,1.0,1.0,1.0,1.0
What is the class format for CSCI 361 (Theory of Computation)?,1.0,0.7857142857142857,0.88,1.0,0.7857142857142857,0.88,0.67678
What are the class requirements and evaluations for CSCI 374 (Machine Learning)?,0.4266666666666667,0.9696969696969697,0.5925925925925927,0.41333333333333333,0.9393939393939394,0.5740740740740741,0.25847
"What are some of the general topics covered in the course ""CSCI 378 (Human Artificial Intelligence Interaction)""?",0.4583333333333333,1.0,0.6285714285714286,0.4583333333333333,1.0,0.6285714285714286,0.27178
"What types of evaluations are used for the course ""CSCI 379 (Causal Inference)""?",0.7619047619047619,0.8421052631578947,0.8,0.7619047619047619,0.8421052631578947,0.8,0.57054
"Which deep learning software may be used in the course ""CSCI 381 (Deep Learning)""?",0.5384615384615384,0.5,0.5185185185185186,0.3076923076923077,0.2857142857142857,0.29629629629629634,0.0
"What are some of the topics covered in the course ""CSCI 432 (Operating Systems)""?",0.7555555555555555,1.0,0.8607594936708861,0.7555555555555555,1.0,0.8607594936708861,0.50619
Are Computer Science courses with 9 as the middle digit eligible to fulfill the elective requirements for the computer science major?,0.9736842105263158,0.9487179487179487,0.9610389610389611,0.9736842105263158,0.9487179487179487,0.9610389610389611,0.92625
How many times can the Discrete Mathematics Proficiency Exam be taken?,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Is the Discrete Mathematics Proficiency Exam available after the sophomore year?,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Can Computer Science 102T, 103, 104, and 134 be taken by students who have already taken a Computer Science course numbered 136 or higher?",1.0,1.0,1.0,1.0,1.0,1.0,1.0
What does the course numbering system indicate in Computer Science?,0.6376811594202898,1.0,0.7787610619469026,0.5507246376811594,0.8636363636363636,0.672566371681416,0.43239
